id,camera_number,original_id,latitude,longitude,utm_x,utm_y,street,intersection,neighborhood,camera_type,status,status_id,organizational_unit,installation_date,is_active,is_public,is_santos_aovivo,created_at,updated_at
375,CAM3086,7535,-23.97058237,-46.32296667,365401.00,7348399.00,Rua Oswaldo Cruz,Avenida Doutor Epitácio Pessoa,Boqueirão,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:52.512852+00,2025-11-18 18:32:21.005989+00
376,CAM3088,7596,-23.94338186,-46.33236746,364416.00,7351402.00,Rua Capitão Adolfo Millon,Avenida Francisco Manoel,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-01-10,true,true,true,2025-11-18 18:18:52.806599+00,2025-11-18 18:32:21.005989+00
377,CAM3089,7597,-23.94339072,-46.33238720,364414.00,7351401.00,Rua Capitão Adolfo Millon,Avenida Francisco Manoel,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-01-10,true,true,true,2025-11-18 18:18:53.065316+00,2025-11-18 18:32:21.005989+00
403,CAM3091,7539,-23.94696870,-46.33633468,364016.00,7351001.00,Avenida Senador Pinheiro Machado,Avenida Bernardino de Campos,Jabaquara,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:54.242012+00,2025-11-18 18:25:25.98603+00
404,CAM3092,7540,-23.94695082,-46.33631484,364018.00,7351003.00,Avenida Senador Pinheiro Machado,Avenida Bernardino de Campos,Jabaquara,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:54.547135+00,2025-11-18 18:32:21.005989+00
405,CAM3093,7541,-23.94697782,-46.33632495,364017.00,7351000.00,Avenida Senador Pinheiro Machado,Avenida Bernardino de Campos,Jabaquara,Fixa Digital HD,Em Funcionamento,1,,2024-12-17,true,true,true,2025-11-18 18:18:54.876481+00,2025-11-18 18:32:21.005989+00
406,CAM3095,3743,-23.94810527,-46.33648395,364002.00,7350875.00,Rua Joaquim Távora,Avenida Bernardino de Campos,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-01-09,true,true,true,2025-11-18 18:18:55.104609+00,2025-11-18 18:32:21.005989+00
407,CAM3096,3744,-23.94810544,-46.33646430,364004.00,7350875.00,Avenida Bernardino de Campos,Rua Joaquim Távora,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-01-09,true,true,true,2025-11-18 18:18:55.365191+00,2025-11-18 18:32:21.005989+00
408,CAM3098,3740,-23.94810339,-46.33670011,363980.00,7350875.00,Rua Princesa Isabel,Rua Joaquim Távora,Vila Mathias,Fixa Digital HD,Em Funcionamento,1,,2025-01-09,true,true,true,2025-11-18 18:18:55.594164+00,2025-11-18 18:25:25.98603+00
409,CAM3100,3738,-23.95064990,-46.33671652,363981.00,7350593.00,Rua Tiradentes,Avenida Bernardino de Campos,Vila Belmiro,Fixa Digital HD,Em Funcionamento,1,,2025-01-08,true,true,true,2025-11-18 18:18:55.862882+00,2025-11-18 18:25:25.98603+00
410,CAM3102,7582,-23.95442558,-46.34386000,363258.00,7350168.00,Avenida Senador Pinheiro Machado,Rua Princesa Isabel,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-14,true,true,true,2025-11-18 18:18:56.108038+00,2025-11-18 18:25:25.98603+00
411,CAM3103,3689,-23.95457995,-46.34376334,363268.00,7350151.00,Avenida Senador Pinheiro Machado,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-13,true,true,true,2025-11-18 18:18:56.33382+00,2025-11-18 18:25:25.98603+00
412,CAM3104,3690,-23.95456232,-46.34371402,363273.00,7350153.00,Avenida Senador Pinheiro Machado,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-13,true,true,true,2025-11-18 18:18:56.622138+00,2025-11-18 18:25:25.98603+00
413,CAM3106,7572,-23.95475822,-46.34403050,363241.00,7350131.00,Avenida Senador Pinheiro Machado,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-13,true,true,true,2025-11-18 18:18:56.876055+00,2025-11-18 18:25:25.98603+00
414,CAM3107,7573,-23.95475857,-46.34399120,363245.00,7350131.00,Avenida Senador Pinheiro Machado,Rua Carvalho de Mendonça,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-13,true,true,true,2025-11-18 18:18:57.228165+00,2025-11-18 18:25:25.98603+00
415,CAM3109,7607,-23.95351305,-46.34390950,363252.00,7350269.00,Rua Napoleão Laureano,Avenida Senador Pinheiro Machado,Marapé,Fixa Digital HD,Em Funcionamento,1,,2025-01-16,true,true,true,2025-11-18 18:18:57.45631+00,2025-11-18 18:25:25.98603+00
